window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,industry_a,industry_b,industry_pair,relation,possible_pairs,transition_energy,transition_intensity,energy_share,persistent,lost,gained,energy_rank
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,新能源,电子,新能源 - 电子,Cross,4,0.0012677537021628773,0.035605529095392996,0.034141509409320724,2,0,1,7
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,新能源,银行,新能源 - 银行,Cross,4,2.9307779589744772e-05,0.0054136660027882,0.0007892793615372249,1,0,0,12
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,新能源,非银金融,新能源 - 非银金融,Cross,2,0.0003398100512067243,0.0184339374851583,0.009151326508345383,2,0,0,11
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,新能源,食品饮料,新能源 - 食品饮料,Cross,4,2.7200661915968197e-05,0.0052154253820727026,0.000732533183030269,1,0,0,13
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,电子,电子,电子 - 电子,Same,6,0.0031760451387469663,0.056356411691545504,0.08553315585192864,6,0,0,3
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,电子,非银金融,电子 - 非银金融,Cross,8,0.001438376685426676,0.03792593684309823,0.03873650777423099,4,0,0,6
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0008409838323578288,0.028999721246209056,0.022648293100265404,1,3,2,8
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,银行,银行,银行 - 银行,Same,6,0.00037916741732248985,0.019472221684299146,0.010211248386920857,5,0,0,10
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,银行,非银金融,银行 - 非银金融,Cross,8,0.014708324427350893,0.12127788103092374,0.3961056441602296,6,1,0,1
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,银行,食品饮料,银行 - 食品饮料,Cross,16,0.0031477519582275336,0.056104830079303634,0.08477120036540486,5,1,1,4
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,非银金融,非银金融,非银金融 - 非银金融,Same,1,0.00046308502193329363,0.021519410352825508,0.012471209199923726,1,0,0,9
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.009112535811108859,0.09545960303242863,0.24540707442380943,6,1,1,2
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.002201984820264062,0.04692531108329557,0.059301018275053,6,0,0,5
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,新能源,电子,新能源 - 电子,Cross,4,0.001525614016341176,0.03905910926200412,0.13561048992717054,2,1,1,4
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,新能源,银行,新能源 - 银行,Cross,4,6.236266015673971e-05,0.00789700323899767,0.005543362086630074,0,1,1,12
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,新能源,非银金融,新能源 - 非银金融,Cross,2,0.00035947781796033534,0.018959900262404742,0.03195366750003002,2,0,0,9
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.00023849335529993427,0.015443230079874297,0.021199464877862065,1,0,0,10
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,电子,电子,电子 - 电子,Same,6,0.0012272259979712215,0.03503178553786863,0.1090870410560126,6,0,0,5
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,电子,非银金融,电子 - 非银金融,Cross,8,0.0001072809146035667,0.01035765005218687,0.009536106271568978,4,0,0,11
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0006965904606403554,0.026393000220519745,0.06191931421329221,2,1,1,7
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,银行,银行,银行 - 银行,Same,6,0.00177273575887408,0.04210386869248573,0.15757692456764044,5,0,0,2
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,银行,非银金融,银行 - 非银金融,Cross,8,0.0010993565837449791,0.03315654661970965,0.0977208411363842,6,0,1,6
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,银行,食品饮料,银行 - 食品饮料,Cross,16,0.0015978584275100184,0.03997322138019425,0.14203223218187447,6,0,0,3
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,非银金融,非银金融,非银金融 - 非银金融,Same,1,3.830161835546608e-05,0.006188830128179806,0.0034045972143367464,1,0,0,13
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.00042615391936854275,0.020643495812689833,0.03788044759089845,6,1,1,8
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0020985190072971855,0.04580959514443656,0.18653551137629917,6,0,0,1
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,新能源,电子,新能源 - 电子,Cross,4,0.0017440985954367092,0.04176240648521957,0.18929355623201555,3,0,0,2
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,新能源,银行,新能源 - 银行,Cross,4,8.045964123117092e-07,0.0008969929834239001,8.732586369629436e-05,1,0,0,13
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,新能源,非银金融,新能源 - 非银金融,Cross,2,0.00014155680107726207,0.011897764541175878,0.015363690077414163,2,0,0,11
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.00037609022106094736,0.0193930456881055,0.040818481016485074,1,0,0,8
