window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,pair_key,stock_i,name_i,industry_i,stock_j,name_j,industry_j,relation,partial_prev,partial_curr,delta_partial,abs_delta_partial,transition_energy,selected_prev,selected_curr,support_change
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|600036,000001,平安银行,银行,600036,招商银行,银行,Same,0.4287803685753549,0.4129427018916406,-0.01583766668371428,0.01583766668371428,0.0002508316859844333,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|601398,000001,平安银行,银行,601398,工商银行,银行,Same,0.0573079286870359,0.0518457405826494,-0.005462188104386499,0.005462188104386499,2.9835498887701378e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|601288,000001,平安银行,银行,601288,农业银行,银行,Same,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|600519,000001,平安银行,银行,600519,贵州茅台,食品饮料,Cross,0.0198968882834599,0.0,-0.0198968882834599,0.0198968882834599,0.0003958861633644838,True,False,Lost
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|000858,000001,平安银行,银行,000858,五粮液,食品饮料,Cross,0.0469219526869032,0.0821289628468928,0.03520701015998961,0.03520701015998961,0.0012395335644056116,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|000568,000001,平安银行,银行,000568,泸州老窖,食品饮料,Cross,0.0,0.0193445378523958,0.0193445378523958,0.0193445378523958,0.00037421114472277397,False,True,Gained
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|600887,000001,平安银行,银行,600887,伊利股份,食品饮料,Cross,0.0333643949399132,0.0543180591034649,0.020953664163551697,0.020953664163551697,0.0004390560418789106,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|002460,000001,平安银行,银行,002460,赣锋锂业,新能源,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|002415,000001,平安银行,银行,002415,海康威视,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|000725,000001,平安银行,银行,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|603501,000001,平安银行,银行,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|002475,000001,平安银行,银行,002475,立讯精密,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|601318,000001,平安银行,银行,601318,中国平安,非银金融,Cross,0.3252175704004443,0.2213753641445772,-0.1038422062558671,0.1038422062558671,0.010783203800086044,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001|600030,000001,平安银行,银行,600030,中信证券,非银金融,Cross,0.1453436481028198,0.1687416567733537,0.023398008670533904,0.023398008670533904,0.0005474668097463798,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036|601398,600036,招商银行,银行,601398,工商银行,银行,Same,0.0565217663673527,0.0601817858395007,0.0036600194721480017,0.0036600194721480017,1.3395742536502537e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036|601288,600036,招商银行,银行,601288,农业银行,银行,Same,0.0235151907314948,0.0299736825762913,0.0064584918447965,0.0064584918447965,4.17121169093029e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036|600519,600036,招商银行,银行,600519,贵州茅台,食品饮料,Cross,0.0297221716053857,0.0514020294536208,0.021679857848235104,0.021679857848235104,0.00047001623631968124,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|600036,600036,招商银行,银行,000858,五粮液,食品饮料,Cross,0.0511059218140799,0.0449658758077316,-0.0061400460063483,0.0061400460063483,3.7700164960073706e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|600036,600036,招商银行,银行,000568,泸州老窖,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036|600887,600036,招商银行,银行,600887,伊利股份,食品饮料,Cross,0.1360166938099903,0.1221838111539421,-0.013832882656048193,0.013832882656048193,0.0001913486425759989,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|600036,600036,招商银行,银行,002460,赣锋锂业,新能源,Cross,0.0119960450225661,0.0065823790197779,-0.0054136660027882,0.0054136660027882,2.9307779589744772e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|600036,600036,招商银行,银行,002415,海康威视,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|600036,600036,招商银行,银行,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036|603501,600036,招商银行,银行,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|600036,600036,招商银行,银行,002475,立讯精密,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036|601318,600036,招商银行,银行,601318,中国平安,非银金融,Cross,0.0734593490460564,0.1180127622810774,0.044553413235021,0.044553413235021,0.0019850066308905448,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|600036,600036,招商银行,银行,600030,中信证券,非银金融,Cross,0.1384329846566802,0.1024632837726107,-0.03596970088406949,0.03596970088406949,0.0012938193816894295,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601288|601398,601398,工商银行,银行,601288,农业银行,银行,Same,0.6517867507626147,0.6583740395072007,0.006587288744586028,0.006587288744586028,4.3392373004549774e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600519|601398,601398,工商银行,银行,600519,贵州茅台,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|601398,601398,工商银行,银行,000858,五粮液,食品饮料,Cross,-0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|601398,601398,工商银行,银行,000568,泸州老窖,食品饮料,Cross,-0.0,-0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600887|601398,601398,工商银行,银行,600887,伊利股份,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|601398,601398,工商银行,银行,002460,赣锋锂业,新能源,Cross,-0.0,-0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|601398,601398,工商银行,银行,002415,海康威视,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|601398,601398,工商银行,银行,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601398|603501,601398,工商银行,银行,603501,韦尔股份,电子,Cross,-0.0,-0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|601398,601398,工商银行,银行,002475,立讯精密,电子,Cross,-0.0,-0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601318|601398,601398,工商银行,银行,601318,中国平安,非银金融,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|601398,601398,工商银行,银行,600030,中信证券,非银金融,Cross,0.0353426516456495,0.0312306615600787,-0.004111990085570803,0.004111990085570803,1.690846246383258e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600519|601288,601288,农业银行,银行,600519,贵州茅台,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|601288,601288,农业银行,银行,000858,五粮液,食品饮料,Cross,-0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|601288,601288,农业银行,银行,000568,泸州老窖,食品饮料,Cross,-0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600887|601288,601288,农业银行,银行,600887,伊利股份,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|601288,601288,农业银行,银行,002460,赣锋锂业,新能源,Cross,-0.0,-0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|601288,601288,农业银行,银行,002415,海康威视,电子,Cross,-0.0,-0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|601288,601288,农业银行,银行,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
