window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,is_boundary,edges_prev,edges_curr,persistent,lost,gained,absent,gross_support_change,net_edge_change,rewiring,jaccard,cross_support_change_share,transition_energy,TI_total,TI_same,TI_cross,same_energy_share,cross_energy_share,support_change_energy,persistent_change_energy,support_energy_share,persistent_energy_share
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,False,52,51,46,6,5,48,11,-1,10,0.8070175438596491,1.0,0.03713232730761391,0.19269750207933137,0.07886876693765925,0.17581821552201896,0.16751663171382622,0.832483368286174,0.0016400535997036082,0.035492273707910305,0.04416781060117711,0.9558321893988229
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,False,51,52,47,4,5,49,9,1,8,0.8392857142857143,1.0,0.011249970538123601,0.10606587829327395,0.0716713498023998,0.07818687968978968,0.456604074214289,0.5433959257857109,0.0013744285107465148,0.009875542027377084,0.12217174312491647,0.8778282568750834
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,False,52,51,49,3,2,51,5,-1,4,0.9074074074074074,0.8,0.009213724070453734,0.0959881454683532,0.058865301077267417,0.07581952518669838,0.37608285687968285,0.6239171431203168,0.0003091319412905343,0.008904592129163199,0.03355124799991009,0.9664487520000897
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,False,51,55,49,2,6,48,8,4,4,0.8596491228070176,0.875,0.06028664192362728,0.2455333825035351,0.06764466972623967,0.23603143981523994,0.0759007500893613,0.9240992499106387,0.0014152313558418738,0.05887141056778541,0.02347504041831898,0.9765249595816811
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,False,55,51,50,5,1,49,6,-4,2,0.8928571428571429,1.0,0.012058243693242416,0.10981003457445233,0.07477026233932521,0.08042171076861586,0.46363237238475685,0.5363676276152433,0.0016162143146561626,0.010442029378586255,0.13403397341869183,0.8659660265813083
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,False,51,51,49,2,2,52,4,0,4,0.9245283018867925,1.0,0.01918661693593848,0.1385157642145416,0.09628821869749511,0.09957507658044676,0.48322333691722047,0.5167766630827797,0.002302921998601524,0.016883694937336956,0.1200275174248107,0.8799724825751893
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,True,51,53,48,3,5,49,8,2,6,0.8571428571428571,0.875,0.019714737275121366,0.14040917803021769,0.08135395567193991,0.1144389408009765,0.33571160554211443,0.6642883944578856,0.0021260253690124774,0.01758871190610889,0.10783939645472092,0.8921606035452792
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,False,53,54,48,5,6,46,11,1,10,0.8135593220338984,1.0,0.030310105828133996,0.17409797766813376,0.06535685677113034,0.16136476412504666,0.140927212568067,0.8590727874319328,0.002942287849974573,0.02736781797815942,0.09707283328729015,0.9029271667127098
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,False,54,55,49,5,6,45,11,1,10,0.8166666666666667,1.0,0.07986171918850851,0.2825981585016231,0.1794816447891571,0.21828435210130695,0.40336798585794104,0.596632014142059,0.004648787058397935,0.07521293213011057,0.05821045559293268,0.9417895444070672
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,False,55,56,54,1,2,48,3,1,2,0.9473684210526315,1.0,0.022337126927487332,0.14945610368093815,0.07105930983062166,0.1314827038582758,0.22605528141538325,0.7739447185846168,0.0010529413396027766,0.021284185587884554,0.04713862006608655,0.9528613799339134
