window_id,window_start,window_end,network_date,regime
1,2023-01-04,2024-01-16,2024-01-16,R1
2,2023-02-08,2024-02-21,2024-02-21,R1
3,2023-03-08,2024-03-20,2024-03-20,R1
4,2023-04-06,2024-04-19,2024-04-19,R1
5,2023-05-09,2024-05-22,2024-05-22,R1
6,2023-06-06,2024-06-20,2024-06-20,R1
7,2023-07-06,2024-07-18,2024-07-18,R1
8,2023-08-03,2024-08-15,2024-08-15,R2
9,2023-08-31,2024-09-12,2024-09-12,R2
10,2023-09-28,2024-10-21,2024-10-21,R2
11,2023-11-03,2024-11-18,2024-11-18,R2
12,2023-12-01,2024-12-16,2024-12-16,R2
13,2023-12-29,2025-01-14,2025-01-14,R3
14,2024-01-29,2025-02-19,2025-02-19,R3
15,2024-03-05,2025-03-19,2025-03-19,R3
16,2024-04-02,2025-04-17,2025-04-17,R3
17,2024-05-07,2025-05-20,2025-05-20,R3
18,2024-06-04,2025-06-18,2025-06-18,R3
19,2024-07-03,2025-07-16,2025-07-16,R3
20,2024-07-31,2025-08-13,2025-08-13,R3
21,2024-08-28,2025-09-10,2025-09-10,R3
22,2024-09-27,2025-10-16,2025-10-16,R3
23,2024-11-01,2025-11-13,2025-11-13,R4
24,2024-11-29,2025-12-11,2025-12-11,R4
25,2024-12-27,2026-01-12,2026-01-12,R4
26,2025-01-27,2026-02-09,2026-02-09,R4
27,2025-03-04,2026-03-17,2026-03-17,R5
28,2025-04-01,2026-04-15,2026-04-15,R5
29,2025-04-30,2026-05-18,2026-05-18,R5
30,2025-06-03,2026-06-15,2026-06-15,R5
31,2025-07-01,2026-07-14,2026-07-14,R5
