window_id,network_date,regime,industry_a,industry_b,industry_pair,relation,novelty_energy,novelty_energy_share,industry_novelty_rank
23,2025-11-13,R4,银行,银行,银行 - 银行,Same,0.057855115580296754,0.2948454594755989,1
23,2025-11-13,R4,电子,非银金融,电子 - 非银金融,Cross,0.0308336376730693,0.15713663305023898,2
23,2025-11-13,R4,非银金融,非银金融,非银金融 - 非银金融,Same,0.027329295545909457,0.1392775491251863,3
23,2025-11-13,R4,非银金融,食品饮料,非银金融 - 食品饮料,Cross,0.020010606215434688,0.10197951079687141,4
23,2025-11-13,R4,电子,电子,电子 - 电子,Same,0.01946431121050978,0.09919544235070683,5
23,2025-11-13,R4,银行,非银金融,银行 - 非银金融,Cross,0.011465464895186274,0.05843113839139628,6
23,2025-11-13,R4,新能源,电子,新能源 - 电子,Cross,0.00840602966545243,0.04283942144469438,7
23,2025-11-13,R4,银行,食品饮料,银行 - 食品饮料,Cross,0.006852237751746629,0.034920873773828125,8
23,2025-11-13,R4,新能源,食品饮料,新能源 - 食品饮料,Cross,0.0046716874841364955,0.02380819446942266,9
23,2025-11-13,R4,新能源,非银金融,新能源 - 非银金融,Cross,0.003746574776120229,0.01909356761705379,10
23,2025-11-13,R4,电子,银行,电子 - 银行,Cross,0.0020500441189975024,0.010447584351848038,11
23,2025-11-13,R4,电子,食品饮料,电子 - 食品饮料,Cross,0.0020283975716943892,0.010337267638768646,12
23,2025-11-13,R4,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,0.0011508460674109807,0.0058650256615689275,13
23,2025-11-13,R4,新能源,银行,新能源 - 银行,Cross,0.00035758129074763565,0.001822331852816663,14
