window_id,network_date,regime,n_prior_states,centroid_novelty,nearest_state_distance,nearest_prior_window,nearest_prior_regime,nearest_prior_date,max_historical_support_jaccard,support_novelty,same_centroid_novelty,cross_centroid_novelty,same_novelty_energy_share,cross_novelty_energy_share,centroid_novelty_percentile,centroid_novelty_robust_z,is_regime_start,is_first_R4_state,TI_total,transition_type,transition_cross_energy_share,transition_support_energy_share,transition_persistent_energy_share,transition_novelty_class
1,2024-01-16,R1,0,,,,,,,,,,,,,,True,False,,,,,,
2,2024-02-21,R1,1,0.19269750207933137,0.19269750207933137,1.0,R1,2024-01-16,0.8070175438596491,0.19298245614035092,0.07886876693765925,0.17581821552201896,0.1675166317138262,0.8324833682861741,,,False,False,0.1926975020793313,Within R1,0.832483368286174,0.0441678106011771,0.9558321893988228,
3,2024-03-20,R1,2,0.16096850799519083,0.10606587829327395,2.0,R1,2024-02-21,0.8392857142857143,0.1607142857142857,0.09344980494506694,0.1310648485366185,0.33703496732422605,0.6629650326757738,,,False,False,0.1060658782932739,Within R1,0.5433959257857109,0.1221717431249164,0.8778282568750834,
4,2024-04-19,R1,3,0.14213220114854286,0.0959881454683532,3.0,R1,2024-03-20,0.9074074074074074,0.09259259259259256,0.061767899211145845,0.12800894199379814,0.18886030986184182,0.8111396901381581,,,False,False,0.0959881454683532,Within R1,0.6239171431203168,0.03355124799991,0.9664487520000896,
5,2024-05-22,R1,4,0.29370231418936316,0.2455333825035351,4.0,R1,2024-04-19,0.8596491228070176,0.14035087719298245,0.0995485333180976,0.276317098411233,0.1148827954133163,0.8851172045866836,,,False,False,0.2455333825035351,Within R1,0.9240992499106389,0.0234750404183189,0.9765249595816812,
6,2024-06-20,R1,5,0.2749628136829177,0.10981003457445233,5.0,R1,2024-05-22,0.8928571428571429,0.1071428571428571,0.1013663289118295,0.25559619768565756,0.135906275289157,0.864093724710843,,,False,False,0.1098100345744523,Within R1,0.5363676276152433,0.1340339734186918,0.8659660265813083,
7,2024-07-18,R1,6,0.27070440949142954,0.1385157642145416,6.0,R1,2024-06-20,0.9245283018867925,0.07547169811320753,0.13965634408723782,0.23189864784920716,0.26615257837524076,0.7338474216247591,,,False,False,0.1385157642145416,Within R1,0.5167766630827797,0.1200275174248107,0.8799724825751893,
8,2024-08-15,R2,7,0.26726809218997327,0.14040917803021769,7.0,R1,2024-07-18,0.8571428571428571,0.1428571428571429,0.12416863368717451,0.23667358008685369,0.2158388296434301,0.7841611703565701,,,True,False,0.1404091780302176,R1→R2 Boundary,0.6642883944578856,0.1078393964547209,0.8921606035452792,
9,2024-09-12,R2,8,0.3209902706990762,0.17409797766813376,8.0,R2,2024-08-15,0.8135593220338984,0.18644067796610164,0.1441167010187052,0.28681898537396605,0.20157881423199792,0.798421185768002,,,False,False,0.1740979776681337,Within R2,0.8590727874319328,0.0970728332872901,0.9029271667127098,
10,2024-10-21,R2,9,0.4058764723199681,0.2825981585016231,9.0,R2,2024-09-12,0.8166666666666667,0.18333333333333335,0.26033007304991057,0.31139037211951504,0.4113968162221078,0.5886031837778921,1.0,2.4069627036588384,False,False,0.2825981585016231,Within R2,0.596632014142059,0.0582104555929326,0.9417895444070672,High transition / High novelty
11,2024-11-18,R2,10,0.4130565988295622,0.14945610368093815,10.0,R2,2024-10-21,0.9473684210526315,0.052631578947368474,0.26225663280831885,0.3191194327907476,0.40311952387356104,0.5968804761264389,1.0,1.9093883249479422,False,False,0.1494561036809381,Within R2,0.7739447185846168,0.0471386200660865,0.9528613799339134,High transition / High novelty
