trade_date,total_stock_count,SSE,SZSE
2015-01-05,2595,987,1608
2015-01-06,2595,987,1608
2015-01-07,2595,987,1608
2015-01-08,2595,987,1608
2015-01-09,2595,987,1608
2015-01-10,2595,987,1608
2015-01-11,2595,987,1608
2015-01-12,2595,987,1608
2015-01-13,2595,987,1608
2015-01-14,2595,987,1608
2015-01-15,2595,987,1608
2015-01-16,2595,987,1608
2015-01-17,2595,987,1608
2015-01-18,2595,987,1608
2015-01-19,2595,987,1608
2015-01-20,2596,988,1608
2015-01-21,2600,989,1611
2015-01-22,2606,991,1615
2015-01-23,2609,992,1617
2015-01-24,2609,992,1617
2015-01-25,2609,992,1617
2015-01-26,2611,994,1617
2015-01-27,2614,996,1618
2015-01-28,2616,998,1618
2015-01-29,2617,999,1618
2015-01-30,2617,999,1618
2015-01-31,2617,999,1618
2015-02-01,2617,999,1618
2015-02-02,2617,999,1618
2015-02-03,2617,999,1618
2015-02-04,2617,999,1618
2015-02-05,2617,999,1618
2015-02-06,2617,999,1618
2015-02-07,2617,999,1618
2015-02-08,2617,999,1618
2015-02-09,2617,999,1618
2015-02-10,2617,999,1618
2015-02-11,2617,999,1618
2015-02-12,2617,999,1618
2015-02-13,2617,999,1618
2015-02-14,2617,999,1618
2015-02-15,2617,999,1618
2015-02-16,2620,999,1621
2015-02-17,2634,1003,1631
2015-02-18,2634,1003,1631
2015-02-19,2634,1003,1631
2015-02-20,2634,1003,1631
2015-02-21,2634,1003,1631
2015-02-22,2634,1003,1631
2015-02-23,2634,1003,1631
2015-02-24,2634,1003,1631
2015-02-25,2635,1004,1631
2015-02-26,2637,1006,1631
2015-02-27,2638,1007,1631
2015-02-28,2638,1007,1631
2015-03-01,2638,1007,1631
2015-03-02,2640,1009,1631
2015-03-03,2641,1010,1631
2015-03-04,2641,1010,1631
2015-03-05,2641,1010,1631
2015-03-06,2641,1010,1631
2015-03-07,2641,1010,1631
2015-03-08,2641,1010,1631
2015-03-09,2641,1010,1631
2015-03-10,2641,1010,1631
2015-03-11,2641,1010,1631
2015-03-12,2641,1010,1631
2015-03-13,2641,1010,1631
2015-03-14,2641,1010,1631
2015-03-15,2641,1010,1631
2015-03-16,2641,1010,1631
2015-03-17,2641,1010,1631
2015-03-18,2642,1010,1632
