security_id,stock_code,stock_name,exchange,board,list_date,delist_date,code_count,issue_type,severity,note
000991.XSHE,000991,通海高科,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
001235.XSHE,001235,里得电科,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
002257.XSHE,002257,立立电子,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
002525.XSHE,002525,胜景山河,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
002710.XSHE,002710,慈铭体检,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
002720.XSHE,002720,宏良股份,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
201872.XSHE,201872,招港B,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
300060.XSHE,300060,苏州恒久,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
300361.XSHE,300361,奥赛康,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
300646.XSHE,300646,侨源气体,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
300728.XSHE,300728,天常股份,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
301686.XSHE,301686,中塑股份,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
301689.XSHE,301689,电科思仪,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
301699.XSHE,301699,洛轴股份,SZSE,CHINEXT,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
600349.XSHG,600349,富通昭和,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
601091.XSHG,601091,沈鼓集团,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
601206.XSHG,601206,海尔施,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
603302.XSHG,603302,鑫广绿环,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
603361.XSHG,603361,浙江国祥,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
603448.XSHG,603448,天博智能,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
688688.XSHG,688688,蚂蚁集团,SSE,STAR,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
688801.XSHG,688801,燧原科技,SSE,STAR,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
688837.XSHG,688837,信诺维,SSE,STAR,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19005,A19005,和舰芯片,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19006,A19006,安翰科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19007,A19007,贝斯达,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19009,A19009,世纪空间,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19025,A19025,木瓜移动,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19033,A19033,创鑫激光,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19042,A19042,恒安嘉新,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19051,A19051,视联动力,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19070,A19070,诺康达,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19071,A19071,国科环宇,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19091,A19091,博拉网络,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19092,A19092,白山科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19102,A19102,连山科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19108,A19108,先临三维,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19113,A19113,华夏天信,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19115,A19115,兴欣新材,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19122,A19122,光通天下,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19124,A19124,上海拓璞,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19128,A19128,新数网络,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19137,A19137,宏晟光电,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19142,A19142,佛朗斯,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19152,A19152,中联数据,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19161,A19161,傲基科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19166,A19166,宜搜科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19168,A19168,科隆新能,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19173,A19173,信大捷安,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
