security_id,stock_code,stock_name,exchange,list_date,delist_date,list_status,security_type,board,is_standard_a_share_code,_source_file,exclude_reason
001872.XSHE,1872,招商港口,SZSE,,,L,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\code_change.csv,NON_STANDARD_A_SHARE_CODE
001872.XSHE,1872,招商港口,SZSE,,,L,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\code_change.csv,NON_STANDARD_A_SHARE_CODE
000043.XSHE,1914,招商积余,SZSE,,,L,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\code_change.csv,NON_STANDARD_A_SHARE_CODE
000043.XSHE,1914,招商积余,SZSE,,,L,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\code_change.csv,NON_STANDARD_A_SHARE_CODE
201872.XSHE,201872,招港B,SZSE,,,L,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\code_change.csv,NON_STANDARD_A_SHARE_CODE
201872.XSHE,201872,招港B,SZSE,,,L,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\code_change.csv,NON_STANDARD_A_SHARE_CODE
302132.XSHE,302132,中航成飞,SZSE,,,L,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\code_change.csv,MISSING_LIST_DATE_REVIEW
302132.XSHE,302132,中航成飞,SZSE,,,L,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\code_change.csv,MISSING_LIST_DATE_REVIEW
601360.XSHG,601360,三六零,SSE,,,L,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\code_change.csv,MISSING_LIST_DATE_REVIEW
601360.XSHG,601360,三六零,SSE,,,L,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\code_change.csv,MISSING_LIST_DATE_REVIEW
601607.XSHG,601607,上海医药,SSE,,,L,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\code_change.csv,MISSING_LIST_DATE_REVIEW
601607.XSHG,601607,上海医药,SSE,,,L,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\code_change.csv,MISSING_LIST_DATE_REVIEW
000991.XSHE,000991,通海高科,SZSE,,,O,,SZSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
001235.XSHE,001235,里得电科,SZSE,,,O,,SZSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
002257.XSHE,002257,立立电子,SZSE,,,O,,SZSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
002525.XSHE,002525,胜景山河,SZSE,,,O,,SZSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
002710.XSHE,002710,慈铭体检,SZSE,,,O,,SZSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
002720.XSHE,002720,宏良股份,SZSE,,,O,,SZSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
300060.XSHE,300060,苏州恒久,SZSE,,,O,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
300361.XSHE,300361,奥赛康,SZSE,,,O,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
300646.XSHE,300646,侨源气体,SZSE,,,O,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
300728.XSHE,300728,天常股份,SZSE,,,O,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
301686.XSHE,301686,中塑股份,SZSE,,,UN,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
301689.XSHE,301689,电科思仪,SZSE,,,UN,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
301699.XSHE,301699,洛轴股份,SZSE,,,UN,,CHINEXT,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
600349.XSHG,600349,富通昭和,SSE,,,O,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
601091.XSHG,601091,沈鼓集团,SSE,,,UN,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
601206.XSHG,601206,海尔施,SSE,,,O,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
603302.XSHG,603302,鑫广绿环,SSE,,,O,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
603361.XSHG,603361,浙江国祥,SSE,,,O,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
603448.XSHG,603448,天博智能,SSE,,,UN,,SSE_MAIN,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
688688.XSHG,688688,蚂蚁集团,SSE,,,O,,STAR,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
688801.XSHG,688801,燧原科技,SSE,,,UN,,STAR,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
688837.XSHG,688837,信诺维,SSE,,,UN,,STAR,True,D:\lowfreq\uqer_daily_info\main\stock_name.csv,MISSING_LIST_DATE_REVIEW
A19005,A19005,和舰芯片,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19006,A19006,安翰科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19007,A19007,贝斯达,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19009,A19009,世纪空间,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19025,A19025,木瓜移动,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19033,A19033,创鑫激光,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19042,A19042,恒安嘉新,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19051,A19051,视联动力,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19070,A19070,诺康达,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19071,A19071,国科环宇,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19091,A19091,博拉网络,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19092,A19092,白山科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19102,A19102,连山科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19108,A19108,先临三维,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19113,A19113,华夏天信,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19115,A19115,兴欣新材,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19122,A19122,光通天下,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19124,A19124,上海拓璞,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19128,A19128,新数网络,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19137,A19137,宏晟光电,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19142,A19142,佛朗斯,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19152,A19152,中联数据,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19161,A19161,傲基科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19166,A19166,宜搜科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19168,A19168,科隆新能,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19173,A19173,信大捷安,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19180,A19180,微创网络,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19185,A19185,精英数智,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19188,A19188,传神语联,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19196,A19196,天罡股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19199,A19199,晶科电子,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19212,A19212,赛赫智能,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19222,A19222,仁会生物,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19231,A19231,天益医疗,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19234,A19234,奥雷德,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19243,A19243,艾索信息,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19246,A19246,慧翰股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19251,A19251,汉弘集团,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19265,A19265,尚沃医疗,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19280,A19280,鸿铭股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19282,A19282,中加特,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19291,A19291,健耕医药,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19301,A19301,芯愿景,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19303,A19303,慧捷科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19309,A19309,智神信息,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19313,A19313,光华科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19317,A19317,盛诺基,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
