security_id,stock_code,stock_name,exchange,list_date,delist_date,list_status,security_type,board,is_standard_a_share_code,_source_file
920000.XBEI,920000,安徽凤凰,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920000.XBEI,920000,安徽凤凰,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920001.XBEI,920001,纬达光电,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920001.XBEI,920001,纬达光电,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920006.XBEI,920006,晟楠科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920006.XBEI,920006,晟楠科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920010.XBEI,920010,凯添燃气,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920010.XBEI,920010,凯添燃气,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920014.XBEI,920014,特瑞斯,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920014.XBEI,920014,特瑞斯,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920017.XBEI,920017,星昊医药,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920017.XBEI,920017,星昊医药,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920021.XBEI,920021,流金科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920021.XBEI,920021,流金科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920023.XBEI,920023,*ST田野,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920023.XBEI,920023,*ST田野,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920026.XBEI,920026,卓兆点胶,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920026.XBEI,920026,卓兆点胶,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920030.XBEI,920030,德众汽车,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920030.XBEI,920030,德众汽车,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920033.XBEI,920033,康普化学,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920033.XBEI,920033,康普化学,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920039.XBEI,920039,国义招标,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920039.XBEI,920039,国义招标,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920046.XBEI,920046,亿能电力,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920046.XBEI,920046,亿能电力,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920047.XBEI,920047,诺思兰德,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920047.XBEI,920047,诺思兰德,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920057.XBEI,920057,百甲科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920057.XBEI,920057,百甲科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920058.XBEI,920058,华洋赛车,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920058.XBEI,920058,华洋赛车,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920061.XBEI,920061,西磁科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920061.XBEI,920061,西磁科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920062.XBEI,920062,科润智控,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920062.XBEI,920062,科润智控,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920075.XBEI,920075,柏星龙,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920075.XBEI,920075,柏星龙,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920077.XBEI,920077,吉林碳谷,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920077.XBEI,920077,吉林碳谷,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920087.XBEI,920087,秋乐种业,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920087.XBEI,920087,秋乐种业,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920089.XBEI,920089,禾昌聚合,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920089.XBEI,920089,禾昌聚合,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920090.XBEI,920090,*ST同辉,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920090.XBEI,920090,*ST同辉,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920092.XBEI,920092,汉鑫科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920092.XBEI,920092,汉鑫科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920110.XBEI,920110,雷特科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
920110.XBEI,920110,雷特科技,BSE,,,L,,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv
