trade_date,total_stock_count,SSE,SZSE,net_change
2015-01-05,2595,987,1608,
2015-01-06,2595,987,1608,0.0
2015-01-07,2595,987,1608,0.0
2015-01-08,2595,987,1608,0.0
2015-01-09,2595,987,1608,0.0
2015-01-12,2595,987,1608,0.0
2015-01-13,2595,987,1608,0.0
2015-01-14,2595,987,1608,0.0
2015-01-15,2595,987,1608,0.0
2015-01-16,2595,987,1608,0.0
2015-01-19,2595,987,1608,0.0
2015-01-20,2596,988,1608,1.0
2015-01-21,2600,989,1611,4.0
2015-01-22,2606,991,1615,6.0
2015-01-23,2609,992,1617,3.0
2015-01-26,2611,994,1617,2.0
2015-01-27,2614,996,1618,3.0
2015-01-28,2616,998,1618,2.0
2015-01-29,2617,999,1618,1.0
2015-01-30,2617,999,1618,0.0
2015-02-02,2617,999,1618,0.0
2015-02-03,2617,999,1618,0.0
2015-02-04,2617,999,1618,0.0
2015-02-05,2617,999,1618,0.0
2015-02-06,2617,999,1618,0.0
2015-02-09,2617,999,1618,0.0
2015-02-10,2617,999,1618,0.0
2015-02-11,2617,999,1618,0.0
2015-02-12,2617,999,1618,0.0
2015-02-13,2617,999,1618,0.0
2015-02-16,2620,999,1621,3.0
2015-02-17,2634,1003,1631,14.0
2015-02-25,2635,1004,1631,1.0
2015-02-26,2637,1006,1631,2.0
2015-02-27,2638,1007,1631,1.0
2015-03-02,2640,1009,1631,2.0
2015-03-03,2641,1010,1631,1.0
2015-03-04,2641,1010,1631,0.0
2015-03-05,2641,1010,1631,0.0
2015-03-06,2641,1010,1631,0.0
2015-03-09,2641,1010,1631,0.0
2015-03-10,2641,1010,1631,0.0
2015-03-11,2641,1010,1631,0.0
2015-03-12,2641,1010,1631,0.0
2015-03-13,2641,1010,1631,0.0
2015-03-16,2641,1010,1631,0.0
2015-03-17,2641,1010,1631,0.0
2015-03-18,2642,1010,1632,1.0
2015-03-19,2650,1013,1637,8.0
2015-03-20,2655,1016,1639,5.0
2015-03-23,2656,1017,1639,1.0
2015-03-24,2660,1018,1642,4.0
2015-03-25,2662,1020,1642,2.0
2015-03-26,2665,1022,1643,3.0
2015-03-27,2665,1022,1643,0.0
2015-03-30,2665,1022,1643,0.0
2015-03-31,2665,1022,1643,0.0
2015-04-01,2665,1022,1643,0.0
2015-04-02,2665,1022,1643,0.0
