trade_date,total_stock_count,SSE,SZSE,net_change
2015-01-05,2594,987,1607,
2015-01-06,2594,987,1607,0.0
2015-01-07,2594,987,1607,0.0
2015-01-08,2594,987,1607,0.0
2015-01-09,2594,987,1607,0.0
2015-01-12,2594,987,1607,0.0
2015-01-13,2594,987,1607,0.0
2015-01-14,2594,987,1607,0.0
2015-01-15,2594,987,1607,0.0
2015-01-16,2594,987,1607,0.0
2015-01-19,2594,987,1607,0.0
2015-01-20,2595,988,1607,1.0
2015-01-21,2599,989,1610,4.0
2015-01-22,2605,991,1614,6.0
2015-01-23,2608,992,1616,3.0
2015-01-26,2610,994,1616,2.0
2015-01-27,2613,996,1617,3.0
2015-01-28,2615,998,1617,2.0
2015-01-29,2616,999,1617,1.0
2015-01-30,2616,999,1617,0.0
2015-02-02,2616,999,1617,0.0
2015-02-03,2616,999,1617,0.0
2015-02-04,2616,999,1617,0.0
2015-02-05,2616,999,1617,0.0
2015-02-06,2616,999,1617,0.0
2015-02-09,2616,999,1617,0.0
2015-02-10,2616,999,1617,0.0
2015-02-11,2616,999,1617,0.0
2015-02-12,2616,999,1617,0.0
2015-02-13,2616,999,1617,0.0
2015-02-16,2619,999,1620,3.0
2015-02-17,2633,1003,1630,14.0
2015-02-25,2634,1004,1630,1.0
2015-02-26,2636,1006,1630,2.0
2015-02-27,2637,1007,1630,1.0
2015-03-02,2639,1009,1630,2.0
2015-03-03,2640,1010,1630,1.0
2015-03-04,2640,1010,1630,0.0
2015-03-05,2640,1010,1630,0.0
2015-03-06,2640,1010,1630,0.0
2015-03-09,2640,1010,1630,0.0
2015-03-10,2640,1010,1630,0.0
2015-03-11,2640,1010,1630,0.0
2015-03-12,2640,1010,1630,0.0
2015-03-13,2640,1010,1630,0.0
2015-03-16,2640,1010,1630,0.0
2015-03-17,2640,1010,1630,0.0
2015-03-18,2641,1010,1631,1.0
2015-03-19,2649,1013,1636,8.0
2015-03-20,2654,1016,1638,5.0
2015-03-23,2655,1017,1638,1.0
2015-03-24,2659,1018,1641,4.0
2015-03-25,2661,1020,1641,2.0
2015-03-26,2664,1022,1642,3.0
2015-03-27,2664,1022,1642,0.0
2015-03-30,2664,1022,1642,0.0
2015-03-31,2664,1022,1642,0.0
2015-04-01,2664,1022,1642,0.0
2015-04-02,2664,1022,1642,0.0
2015-04-03,2664,1022,1642,0.0
2015-04-07,2664,1022,1642,0.0
2015-04-08,2664,1022,1642,0.0
2015-04-09,2664,1022,1642,0.0
2015-04-10,2664,1022,1642,0.0
2015-04-13,2664,1022,1642,0.0
2015-04-14,2664,1022,1642,0.0
2015-04-15,2664,1022,1642,0.0
2015-04-16,2664,1022,1642,0.0
2015-04-17,2664,1022,1642,0.0
2015-04-20,2664,1022,1642,0.0
2015-04-21,2664,1022,1642,0.0
2015-04-22,2674,1025,1649,10.0
2015-04-23,2682,1028,1654,8.0
2015-04-24,2692,1031,1661,10.0
2015-04-27,2693,1032,1661,1.0
2015-04-28,2694,1033,1661,1.0
2015-04-29,2694,1033,1661,0.0
2015-04-30,2694,1033,1661,0.0
2015-05-04,2694,1033,1661,0.0
2015-05-05,2694,1033,1661,0.0
2015-05-06,2694,1033,1661,0.0
2015-05-07,2694,1033,1661,0.0
2015-05-08,2694,1033,1661,0.0
2015-05-11,2694,1033,1661,0.0
2015-05-12,2694,1033,1661,0.0
2015-05-13,2697,1035,1662,3.0
2015-05-14,2700,1035,1665,3.0
2015-05-15,2711,1038,1673,11.0
2015-05-18,2716,1042,1674,5.0
2015-05-19,2718,1042,1676,2.0
2015-05-20,2716,1040,1676,-2.0
2015-05-21,2715,1039,1676,-1.0
2015-05-22,2715,1039,1676,0.0
2015-05-25,2715,1039,1676,0.0
2015-05-26,2715,1039,1676,0.0
2015-05-27,2724,1043,1681,9.0
2015-05-28,2732,1047,1685,8.0
2015-05-29,2735,1050,1685,3.0
2015-06-01,2735,1050,1685,0.0
2015-06-02,2735,1050,1685,0.0
2015-06-03,2735,1050,1685,0.0
2015-06-04,2735,1050,1685,0.0
2015-06-05,2735,1050,1685,0.0
2015-06-08,2735,1050,1685,0.0
2015-06-09,2735,1050,1685,0.0
2015-06-10,2743,1051,1692,8.0
2015-06-11,2752,1054,1698,9.0
2015-06-12,2758,1055,1703,6.0
2015-06-15,2758,1055,1703,0.0
2015-06-16,2758,1055,1703,0.0
2015-06-17,2758,1055,1703,0.0
2015-06-18,2758,1055,1703,0.0
2015-06-19,2758,1055,1703,0.0
2015-06-23,2758,1055,1703,0.0
2015-06-24,2758,1055,1703,0.0
2015-06-25,2758,1055,1703,0.0
2015-06-26,2763,1056,1707,5.0
2015-06-29,2769,1059,1710,6.0
2015-06-30,2778,1062,1716,9.0
2015-07-01,2781,1063,1718,3.0
2015-07-02,2783,1063,1720,2.0
2015-07-03,2783,1063,1720,0.0
2015-07-06,2783,1063,1720,0.0
2015-07-07,2783,1063,1720,0.0
2015-07-08,2783,1063,1720,0.0
2015-07-09,2783,1063,1720,0.0
2015-07-10,2783,1063,1720,0.0
2015-07-13,2782,1063,1719,-1.0
2015-07-14,2782,1063,1719,0.0
2015-07-15,2782,1063,1719,0.0
2015-07-16,2782,1063,1719,0.0
2015-07-17,2782,1063,1719,0.0
2015-07-20,2782,1063,1719,0.0
2015-07-21,2782,1063,1719,0.0
2015-07-22,2782,1063,1719,0.0
2015-07-23,2782,1063,1719,0.0
2015-07-24,2782,1063,1719,0.0
2015-07-27,2782,1063,1719,0.0
2015-07-28,2782,1063,1719,0.0
2015-07-29,2782,1063,1719,0.0
2015-07-30,2782,1063,1719,0.0
2015-07-31,2782,1063,1719,0.0
2015-08-03,2782,1063,1719,0.0
2015-08-04,2782,1063,1719,0.0
2015-08-05,2782,1063,1719,0.0
2015-08-06,2782,1063,1719,0.0
2015-08-07,2782,1063,1719,0.0
2015-08-10,2782,1063,1719,0.0
2015-08-11,2782,1063,1719,0.0
2015-08-12,2782,1063,1719,0.0
2015-08-13,2782,1063,1719,0.0
2015-08-14,2782,1063,1719,0.0
2015-08-17,2782,1063,1719,0.0
2015-08-18,2782,1063,1719,0.0
2015-08-19,2782,1063,1719,0.0
2015-08-20,2782,1063,1719,0.0
2015-08-21,2782,1063,1719,0.0
2015-08-24,2782,1063,1719,0.0
2015-08-25,2782,1063,1719,0.0
2015-08-26,2782,1063,1719,0.0
2015-08-27,2782,1063,1719,0.0
2015-08-28,2782,1063,1719,0.0
2015-08-31,2782,1063,1719,0.0
2015-09-01,2782,1063,1719,0.0
2015-09-02,2782,1063,1719,0.0
2015-09-07,2782,1063,1719,0.0
2015-09-08,2782,1063,1719,0.0
2015-09-09,2782,1063,1719,0.0
2015-09-10,2782,1063,1719,0.0
2015-09-11,2782,1063,1719,0.0
2015-09-14,2782,1063,1719,0.0
2015-09-15,2782,1063,1719,0.0
2015-09-16,2782,1063,1719,0.0
2015-09-17,2782,1063,1719,0.0
2015-09-18,2782,1063,1719,0.0
2015-09-21,2782,1063,1719,0.0
2015-09-22,2782,1063,1719,0.0
2015-09-23,2782,1063,1719,0.0
2015-09-24,2782,1063,1719,0.0
2015-09-25,2782,1063,1719,0.0
2015-09-28,2782,1063,1719,0.0
2015-09-29,2782,1063,1719,0.0
2015-09-30,2782,1063,1719,0.0
2015-10-08,2782,1063,1719,0.0
2015-10-09,2782,1063,1719,0.0
2015-10-12,2782,1063,1719,0.0
2015-10-13,2782,1063,1719,0.0
2015-10-14,2782,1063,1719,0.0
2015-10-15,2782,1063,1719,0.0
2015-10-16,2782,1063,1719,0.0
2015-10-19,2782,1063,1719,0.0
2015-10-20,2782,1063,1719,0.0
2015-10-21,2782,1063,1719,0.0
2015-10-22,2782,1063,1719,0.0
2015-10-23,2782,1063,1719,0.0
2015-10-26,2782,1063,1719,0.0
2015-10-27,2782,1063,1719,0.0
2015-10-28,2782,1063,1719,0.0
2015-10-29,2782,1063,1719,0.0
2015-10-30,2782,1063,1719,0.0
2015-11-02,2782,1063,1719,0.0
2015-11-03,2782,1063,1719,0.0
2015-11-04,2782,1063,1719,0.0
2015-11-05,2782,1063,1719,0.0
2015-11-06,2782,1063,1719,0.0
2015-11-09,2782,1063,1719,0.0
2015-11-10,2782,1063,1719,0.0
2015-11-11,2782,1063,1719,0.0
2015-11-12,2782,1063,1719,0.0
2015-11-13,2782,1063,1719,0.0
2015-11-16,2782,1063,1719,0.0
2015-11-17,2782,1063,1719,0.0
2015-11-18,2782,1063,1719,0.0
2015-11-19,2782,1063,1719,0.0
2015-11-20,2782,1063,1719,0.0
2015-11-23,2782,1063,1719,0.0
2015-11-24,2782,1063,1719,0.0
2015-11-25,2782,1063,1719,0.0
2015-11-26,2782,1063,1719,0.0
2015-11-27,2782,1063,1719,0.0
2015-11-30,2782,1063,1719,0.0
2015-12-01,2782,1063,1719,0.0
2015-12-02,2782,1063,1719,0.0
2015-12-03,2782,1063,1719,0.0
2015-12-04,2783,1064,1719,1.0
2015-12-07,2783,1064,1719,0.0
2015-12-08,2783,1064,1719,0.0
2015-12-09,2789,1067,1722,6.0
2015-12-10,2793,1069,1724,4.0
2015-12-11,2793,1069,1724,0.0
2015-12-14,2793,1069,1724,0.0
2015-12-15,2793,1069,1724,0.0
2015-12-16,2793,1069,1724,0.0
2015-12-17,2793,1069,1724,0.0
2015-12-18,2793,1069,1724,0.0
2015-12-21,2793,1069,1724,0.0
2015-12-22,2799,1071,1728,6.0
2015-12-23,2802,1071,1731,3.0
2015-12-24,2803,1072,1731,1.0
2015-12-25,2803,1072,1731,0.0
2015-12-28,2803,1072,1731,0.0
2015-12-29,2803,1072,1731,0.0
2015-12-30,2803,1072,1731,0.0
2015-12-31,2810,1074,1736,7.0
2016-01-04,2810,1074,1736,0.0
2016-01-05,2810,1074,1736,0.0
2016-01-06,2811,1074,1737,1.0
2016-01-07,2811,1074,1737,0.0
2016-01-08,2811,1074,1737,0.0
2016-01-11,2811,1074,1737,0.0
2016-01-12,2811,1074,1737,0.0
2016-01-13,2811,1074,1737,0.0
2016-01-14,2811,1074,1737,0.0
2016-01-15,2811,1074,1737,0.0
2016-01-18,2811,1074,1737,0.0
2016-01-19,2811,1074,1737,0.0
2016-01-20,2811,1074,1737,0.0
2016-01-21,2811,1074,1737,0.0
2016-01-22,2811,1074,1737,0.0
2016-01-25,2811,1074,1737,0.0
2016-01-26,2811,1074,1737,0.0
2016-01-27,2811,1074,1737,0.0
2016-01-28,2811,1074,1737,0.0
2016-01-29,2811,1074,1737,0.0
2016-02-01,2811,1074,1737,0.0
2016-02-02,2812,1074,1738,1.0
2016-02-03,2812,1074,1738,0.0
2016-02-04,2814,1074,1740,2.0
2016-02-05,2815,1075,1740,1.0
2016-02-15,2816,1076,1740,1.0
2016-02-16,2816,1076,1740,0.0
2016-02-17,2816,1076,1740,0.0
2016-02-18,2818,1077,1741,2.0
2016-02-19,2818,1077,1741,0.0
2016-02-22,2818,1077,1741,0.0
2016-02-23,2818,1077,1741,0.0
2016-02-24,2818,1077,1741,0.0
2016-02-25,2818,1077,1741,0.0
2016-02-26,2818,1077,1741,0.0
2016-02-29,2818,1077,1741,0.0
2016-03-01,2818,1077,1741,0.0
2016-03-02,2818,1077,1741,0.0
2016-03-03,2819,1077,1742,1.0
2016-03-04,2819,1077,1742,0.0
2016-03-07,2820,1078,1742,1.0
2016-03-08,2821,1078,1743,1.0
2016-03-09,2823,1079,1744,2.0
2016-03-10,2824,1080,1744,1.0
