security_id,stock_code,stock_name,exchange,board,list_date,delist_date,code_count,issue_type,severity,note
600018.XSHG,600018,上港集团,SSE,SSE_MAIN,2006-10-26,,,SAME_CODE_MULTIPLE_SECURITY_IDS,HIGH,同一交易所同一股票代码对应多个 secID，需要核查代码复用或数据映射。
DY600018.XSHG,600018,上港集箱,SSE,SSE_MAIN,2000-07-19,2006-10-20,,SAME_CODE_MULTIPLE_SECURITY_IDS,HIGH,同一交易所同一股票代码对应多个 secID，需要核查代码复用或数据映射。
920000.XBEI,920000,安徽凤凰,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920000.XBEI,920000,安徽凤凰,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920001.XBEI,920001,纬达光电,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920001.XBEI,920001,纬达光电,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920006.XBEI,920006,晟楠科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920006.XBEI,920006,晟楠科技,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920010.XBEI,920010,凯添燃气,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920010.XBEI,920010,凯添燃气,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920014.XBEI,920014,特瑞斯,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
920014.XBEI,920014,特瑞斯,BSE,BSE,,,,STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,标准 A 股代码但缺 listDate；当前不进入 Raw Universe，Stage 2 与 daily_temp3 核查。
