metric,value
trade_day_count,2837.0
total_expected_stock_day_records,11628957.0
total_matched_stock_day_records,11625293.0
weighted_history_coverage_ratio,0.9996849244519521
min_daily_coverage_ratio,0.9992292870905588
mean_daily_coverage_ratio,0.9996352493214908
days_with_raw_only,2457.0
days_with_daily_only,2457.0
total_raw_only_records,3664.0
total_daily_only_records,2457.0
days_with_duplicate_security,0.0
total_duplicate_security_count,0.0
total_invalid_price_count,282678.0
total_invalid_ohlc_count,282678.0
total_negative_volume_count,0.0
total_negative_turnover_value_count,0.0
total_invalid_adj_factor_count,0.0
total_closed_but_traded_count,0.0
total_open_but_zero_trade_count,0.0
high_anomaly_rows,565356.0
review_anomaly_rows,0.0
