trade_date,research_row_count,unique_security_count,active_stock_count,suspended_stock_count,unknown_is_open_count,duplicate_security_count,missing_security_id_count,active_missing_close_count,active_missing_ohlc_count,active_invalid_price_count,active_invalid_ohlc_count,suspended_nonpositive_ohlc_count,suspended_all_zero_ohlc_count,negative_volume_count,negative_turnover_value_count,negative_deal_amount_count,invalid_adj_factor_count,closed_but_traded_count,open_but_zero_trade_count,invalid_vwap_count,invalid_market_value_count,invalid_neg_market_value_count,invalid_turnover_rate_count
2015-01-05,2593,2593,2340,253,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,2593,2593,2339,254,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,2593,2593,2344,249,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,2593,2593,2341,252,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,2593,2593,2340,253,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,2593,2593,2336,257,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,2593,2593,2333,260,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,2593,2593,2332,261,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,2593,2593,2325,268,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,2593,2593,2334,259,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,2593,2593,2324,269,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,2594,2594,2324,270,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,2598,2598,2326,272,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,2604,2604,2331,273,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,2607,2607,2333,274,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,2609,2609,2335,274,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,2612,2612,2340,272,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,2614,2614,2349,265,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,2615,2615,2353,262,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,2615,2615,2353,262,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,2615,2615,2345,270,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,2615,2615,2351,264,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,2615,2615,2350,265,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,2615,2615,2347,268,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,2615,2615,2345,270,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,2615,2615,2344,271,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,2615,2615,2345,270,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,2615,2615,2353,262,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,2615,2615,2356,259,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,2615,2615,2357,258,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,2618,2618,2363,255,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,2632,2632,2392,240,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0
2015-02-25,2633,2633,2384,249,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,2635,2635,2384,251,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,2636,2636,2385,251,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,2638,2638,2376,262,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,2639,2639,2375,264,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,2639,2639,2375,264,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,2639,2639,2367,272,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,2639,2639,2367,272,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,2639,2639,2361,278,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,2639,2639,2364,275,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,2639,2639,2368,271,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,2639,2639,2365,274,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0
2015-03-13,2639,2639,2356,283,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,2639,2639,2348,291,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,2639,2639,2347,292,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,2640,2640,2353,287,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0
2015-03-19,2648,2648,2348,300,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,2653,2653,2356,297,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,2654,2654,2344,310,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,2658,2658,2351,307,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0
2015-03-25,2660,2660,2348,312,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,2663,2663,2341,322,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,2663,2663,2343,320,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,2663,2663,2326,337,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,2663,2663,2339,324,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,2663,2663,2339,324,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,2663,2663,2333,330,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,2663,2663,2344,319,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,2663,2663,2329,334,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,2663,2663,2330,333,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,2663,2663,2321,342,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0
2015-04-10,2663,2663,2324,339,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0
2015-04-13,2663,2663,2323,340,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,2663,2663,2328,335,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,2663,2663,2313,350,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,2663,2663,2312,351,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,2663,2663,2319,344,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,2663,2663,2319,344,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,2663,2663,2328,335,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,2673,2673,2341,332,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,2681,2681,2350,331,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,2691,2691,2357,334,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,2692,2692,2361,331,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,2693,2693,2368,325,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,2693,2693,2372,321,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,2693,2693,2365,328,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
2015-05-04,2693,2693,2357,336,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0
2015-05-05,2693,2693,2347,346,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0
2015-05-06,2693,2693,2349,344,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0
2015-05-07,2693,2693,2350,343,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0
2015-05-08,2693,2693,2347,346,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0
2015-05-11,2693,2693,2359,334,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,2693,2693,2366,327,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,2696,2696,2357,339,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,2699,2699,2357,342,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,2710,2710,2368,342,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,2715,2715,2357,358,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,2717,2717,2357,360,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,2715,2715,2361,354,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,2714,2714,2359,355,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,2714,2714,2349,365,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,2714,2714,2327,387,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,2714,2714,2335,379,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,2723,2723,2341,382,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,2731,2731,2335,396,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,2734,2734,2334,400,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,2734,2734,2318,416,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,2734,2734,2315,419,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,2734,2734,2313,421,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,2734,2734,2320,414,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,2734,2734,2315,419,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,2734,2734,2299,435,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,2734,2734,2304,430,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,2742,2742,2310,432,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0
