field,present_day_count,absent_day_count,present_ratio
security_id,2837,0,1.0
stock_code,2837,0,1.0
stock_name,2837,0,1.0
exchange,2837,0,1.0
trade_date,2837,0,1.0
open,2837,0,1.0
high,2837,0,1.0
low,2837,0,1.0
close,2837,0,1.0
volume,2837,0,1.0
turnover_value,2837,0,1.0
deal_amount,2837,0,1.0
vwap,2837,0,1.0
adj_factor,2837,0,1.0
chg_pct,2837,0,1.0
is_open,2837,0,1.0
market_value,2837,0,1.0
neg_market_value,2837,0,1.0
turnover_rate,2837,0,1.0
pe,2837,0,1.0
pe1,2837,0,1.0
pb,2837,0,1.0
industry1,2837,0,1.0
industry2,2837,0,1.0
