field,total_count,nonmissing_count,missing_count,missing_rate,active_count,active_missing_count,active_missing_rate,suspended_count,suspended_missing_count,suspended_missing_rate,unknown_is_open_count
security_id,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
stock_code,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
stock_name,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
exchange,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
open,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
high,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
low,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
close,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
volume,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
turnover_value,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
deal_amount,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
vwap,11625293,11342625,282668,0.024314914041306313,11342625,0,0.0,282668,282668,1.0,0
adj_factor,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
chg_pct,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
is_open,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
market_value,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
neg_market_value,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
turnover_rate,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
pe,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
pe1,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
pb,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
industry1,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
industry2,11625293,11625293,0,0.0,11342625,0,0.0,282668,0,0.0,0
