trade_date,file_path,status,raw_row_count,target_exchange_row_count,research_row_count,error
2015-01-05,D:\lowfreq\daily_temp3\20150105.csv,SUCCESS,2594,2594,2593,
2015-01-06,D:\lowfreq\daily_temp3\20150106.csv,SUCCESS,2594,2594,2593,
2015-01-07,D:\lowfreq\daily_temp3\20150107.csv,SUCCESS,2594,2594,2593,
2015-01-08,D:\lowfreq\daily_temp3\20150108.csv,SUCCESS,2594,2594,2593,
2015-01-09,D:\lowfreq\daily_temp3\20150109.csv,SUCCESS,2594,2594,2593,
2015-01-12,D:\lowfreq\daily_temp3\20150112.csv,SUCCESS,2594,2594,2593,
2015-01-13,D:\lowfreq\daily_temp3\20150113.csv,SUCCESS,2594,2594,2593,
2015-01-14,D:\lowfreq\daily_temp3\20150114.csv,SUCCESS,2594,2594,2593,
2015-01-15,D:\lowfreq\daily_temp3\20150115.csv,SUCCESS,2594,2594,2593,
2015-01-16,D:\lowfreq\daily_temp3\20150116.csv,SUCCESS,2594,2594,2593,
2015-01-19,D:\lowfreq\daily_temp3\20150119.csv,SUCCESS,2594,2594,2593,
2015-01-20,D:\lowfreq\daily_temp3\20150120.csv,SUCCESS,2595,2595,2594,
2015-01-21,D:\lowfreq\daily_temp3\20150121.csv,SUCCESS,2599,2599,2598,
2015-01-22,D:\lowfreq\daily_temp3\20150122.csv,SUCCESS,2605,2605,2604,
2015-01-23,D:\lowfreq\daily_temp3\20150123.csv,SUCCESS,2608,2608,2607,
2015-01-26,D:\lowfreq\daily_temp3\20150126.csv,SUCCESS,2610,2610,2609,
2015-01-27,D:\lowfreq\daily_temp3\20150127.csv,SUCCESS,2613,2613,2612,
2015-01-28,D:\lowfreq\daily_temp3\20150128.csv,SUCCESS,2615,2615,2614,
2015-01-29,D:\lowfreq\daily_temp3\20150129.csv,SUCCESS,2616,2616,2615,
2015-01-30,D:\lowfreq\daily_temp3\20150130.csv,SUCCESS,2616,2616,2615,
2015-02-02,D:\lowfreq\daily_temp3\20150202.csv,SUCCESS,2616,2616,2615,
2015-02-03,D:\lowfreq\daily_temp3\20150203.csv,SUCCESS,2616,2616,2615,
2015-02-04,D:\lowfreq\daily_temp3\20150204.csv,SUCCESS,2616,2616,2615,
2015-02-05,D:\lowfreq\daily_temp3\20150205.csv,SUCCESS,2616,2616,2615,
2015-02-06,D:\lowfreq\daily_temp3\20150206.csv,SUCCESS,2616,2616,2615,
2015-02-09,D:\lowfreq\daily_temp3\20150209.csv,SUCCESS,2616,2616,2615,
2015-02-10,D:\lowfreq\daily_temp3\20150210.csv,SUCCESS,2616,2616,2615,
2015-02-11,D:\lowfreq\daily_temp3\20150211.csv,SUCCESS,2616,2616,2615,
2015-02-12,D:\lowfreq\daily_temp3\20150212.csv,SUCCESS,2616,2616,2615,
2015-02-13,D:\lowfreq\daily_temp3\20150213.csv,SUCCESS,2616,2616,2615,
2015-02-16,D:\lowfreq\daily_temp3\20150216.csv,SUCCESS,2619,2619,2618,
2015-02-17,D:\lowfreq\daily_temp3\20150217.csv,SUCCESS,2633,2633,2632,
2015-02-25,D:\lowfreq\daily_temp3\20150225.csv,SUCCESS,2634,2634,2633,
2015-02-26,D:\lowfreq\daily_temp3\20150226.csv,SUCCESS,2636,2636,2635,
2015-02-27,D:\lowfreq\daily_temp3\20150227.csv,SUCCESS,2637,2637,2636,
2015-03-02,D:\lowfreq\daily_temp3\20150302.csv,SUCCESS,2639,2639,2638,
2015-03-03,D:\lowfreq\daily_temp3\20150303.csv,SUCCESS,2640,2640,2639,
2015-03-04,D:\lowfreq\daily_temp3\20150304.csv,SUCCESS,2640,2640,2639,
2015-03-05,D:\lowfreq\daily_temp3\20150305.csv,SUCCESS,2640,2640,2639,
2015-03-06,D:\lowfreq\daily_temp3\20150306.csv,SUCCESS,2640,2640,2639,
2015-03-09,D:\lowfreq\daily_temp3\20150309.csv,SUCCESS,2640,2640,2639,
2015-03-10,D:\lowfreq\daily_temp3\20150310.csv,SUCCESS,2640,2640,2639,
2015-03-11,D:\lowfreq\daily_temp3\20150311.csv,SUCCESS,2640,2640,2639,
2015-03-12,D:\lowfreq\daily_temp3\20150312.csv,SUCCESS,2640,2640,2639,
2015-03-13,D:\lowfreq\daily_temp3\20150313.csv,SUCCESS,2640,2640,2639,
2015-03-16,D:\lowfreq\daily_temp3\20150316.csv,SUCCESS,2640,2640,2639,
2015-03-17,D:\lowfreq\daily_temp3\20150317.csv,SUCCESS,2640,2640,2639,
2015-03-18,D:\lowfreq\daily_temp3\20150318.csv,SUCCESS,2641,2641,2640,
2015-03-19,D:\lowfreq\daily_temp3\20150319.csv,SUCCESS,2649,2649,2648,
2015-03-20,D:\lowfreq\daily_temp3\20150320.csv,SUCCESS,2654,2654,2653,
2015-03-23,D:\lowfreq\daily_temp3\20150323.csv,SUCCESS,2655,2655,2654,
2015-03-24,D:\lowfreq\daily_temp3\20150324.csv,SUCCESS,2659,2659,2658,
2015-03-25,D:\lowfreq\daily_temp3\20150325.csv,SUCCESS,2661,2661,2660,
2015-03-26,D:\lowfreq\daily_temp3\20150326.csv,SUCCESS,2664,2664,2663,
2015-03-27,D:\lowfreq\daily_temp3\20150327.csv,SUCCESS,2664,2664,2663,
2015-03-30,D:\lowfreq\daily_temp3\20150330.csv,SUCCESS,2664,2664,2663,
2015-03-31,D:\lowfreq\daily_temp3\20150331.csv,SUCCESS,2664,2664,2663,
2015-04-01,D:\lowfreq\daily_temp3\20150401.csv,SUCCESS,2664,2664,2663,
2015-04-02,D:\lowfreq\daily_temp3\20150402.csv,SUCCESS,2664,2664,2663,
2015-04-03,D:\lowfreq\daily_temp3\20150403.csv,SUCCESS,2664,2664,2663,
2015-04-07,D:\lowfreq\daily_temp3\20150407.csv,SUCCESS,2664,2664,2663,
2015-04-08,D:\lowfreq\daily_temp3\20150408.csv,SUCCESS,2664,2664,2663,
2015-04-09,D:\lowfreq\daily_temp3\20150409.csv,SUCCESS,2664,2664,2663,
2015-04-10,D:\lowfreq\daily_temp3\20150410.csv,SUCCESS,2664,2664,2663,
2015-04-13,D:\lowfreq\daily_temp3\20150413.csv,SUCCESS,2664,2664,2663,
2015-04-14,D:\lowfreq\daily_temp3\20150414.csv,SUCCESS,2664,2664,2663,
2015-04-15,D:\lowfreq\daily_temp3\20150415.csv,SUCCESS,2664,2664,2663,
2015-04-16,D:\lowfreq\daily_temp3\20150416.csv,SUCCESS,2664,2664,2663,
2015-04-17,D:\lowfreq\daily_temp3\20150417.csv,SUCCESS,2664,2664,2663,
2015-04-20,D:\lowfreq\daily_temp3\20150420.csv,SUCCESS,2664,2664,2663,
2015-04-21,D:\lowfreq\daily_temp3\20150421.csv,SUCCESS,2664,2664,2663,
2015-04-22,D:\lowfreq\daily_temp3\20150422.csv,SUCCESS,2674,2674,2673,
2015-04-23,D:\lowfreq\daily_temp3\20150423.csv,SUCCESS,2682,2682,2681,
2015-04-24,D:\lowfreq\daily_temp3\20150424.csv,SUCCESS,2692,2692,2691,
2015-04-27,D:\lowfreq\daily_temp3\20150427.csv,SUCCESS,2693,2693,2692,
2015-04-28,D:\lowfreq\daily_temp3\20150428.csv,SUCCESS,2694,2694,2693,
2015-04-29,D:\lowfreq\daily_temp3\20150429.csv,SUCCESS,2694,2694,2693,
2015-04-30,D:\lowfreq\daily_temp3\20150430.csv,SUCCESS,2694,2694,2693,
2015-05-04,D:\lowfreq\daily_temp3\20150504.csv,SUCCESS,2694,2694,2693,
2015-05-05,D:\lowfreq\daily_temp3\20150505.csv,SUCCESS,2694,2694,2693,
2015-05-06,D:\lowfreq\daily_temp3\20150506.csv,SUCCESS,2694,2694,2693,
2015-05-07,D:\lowfreq\daily_temp3\20150507.csv,SUCCESS,2694,2694,2693,
2015-05-08,D:\lowfreq\daily_temp3\20150508.csv,SUCCESS,2694,2694,2693,
2015-05-11,D:\lowfreq\daily_temp3\20150511.csv,SUCCESS,2694,2694,2693,
2015-05-12,D:\lowfreq\daily_temp3\20150512.csv,SUCCESS,2694,2694,2693,
2015-05-13,D:\lowfreq\daily_temp3\20150513.csv,SUCCESS,2697,2697,2696,
2015-05-14,D:\lowfreq\daily_temp3\20150514.csv,SUCCESS,2700,2700,2699,
2015-05-15,D:\lowfreq\daily_temp3\20150515.csv,SUCCESS,2711,2711,2710,
2015-05-18,D:\lowfreq\daily_temp3\20150518.csv,SUCCESS,2716,2716,2715,
2015-05-19,D:\lowfreq\daily_temp3\20150519.csv,SUCCESS,2718,2718,2717,
2015-05-20,D:\lowfreq\daily_temp3\20150520.csv,SUCCESS,2716,2716,2715,
2015-05-21,D:\lowfreq\daily_temp3\20150521.csv,SUCCESS,2715,2715,2714,
2015-05-22,D:\lowfreq\daily_temp3\20150522.csv,SUCCESS,2715,2715,2714,
2015-05-25,D:\lowfreq\daily_temp3\20150525.csv,SUCCESS,2715,2715,2714,
2015-05-26,D:\lowfreq\daily_temp3\20150526.csv,SUCCESS,2715,2715,2714,
2015-05-27,D:\lowfreq\daily_temp3\20150527.csv,SUCCESS,2724,2724,2723,
2015-05-28,D:\lowfreq\daily_temp3\20150528.csv,SUCCESS,2732,2732,2731,
2015-05-29,D:\lowfreq\daily_temp3\20150529.csv,SUCCESS,2735,2735,2734,
2015-06-01,D:\lowfreq\daily_temp3\20150601.csv,SUCCESS,2735,2735,2734,
2015-06-02,D:\lowfreq\daily_temp3\20150602.csv,SUCCESS,2735,2735,2734,
2015-06-03,D:\lowfreq\daily_temp3\20150603.csv,SUCCESS,2735,2735,2734,
2015-06-04,D:\lowfreq\daily_temp3\20150604.csv,SUCCESS,2735,2735,2734,
2015-06-05,D:\lowfreq\daily_temp3\20150605.csv,SUCCESS,2735,2735,2734,
2015-06-08,D:\lowfreq\daily_temp3\20150608.csv,SUCCESS,2735,2735,2734,
2015-06-09,D:\lowfreq\daily_temp3\20150609.csv,SUCCESS,2735,2735,2734,
2015-06-10,D:\lowfreq\daily_temp3\20150610.csv,SUCCESS,2743,2743,2742,
2015-06-11,D:\lowfreq\daily_temp3\20150611.csv,SUCCESS,2752,2752,2751,
2015-06-12,D:\lowfreq\daily_temp3\20150612.csv,SUCCESS,2758,2758,2757,
2015-06-15,D:\lowfreq\daily_temp3\20150615.csv,SUCCESS,2758,2758,2757,
2015-06-16,D:\lowfreq\daily_temp3\20150616.csv,SUCCESS,2758,2758,2757,
2015-06-17,D:\lowfreq\daily_temp3\20150617.csv,SUCCESS,2758,2758,2757,
2015-06-18,D:\lowfreq\daily_temp3\20150618.csv,SUCCESS,2758,2758,2757,
2015-06-19,D:\lowfreq\daily_temp3\20150619.csv,SUCCESS,2758,2758,2757,
2015-06-23,D:\lowfreq\daily_temp3\20150623.csv,SUCCESS,2758,2758,2757,
2015-06-24,D:\lowfreq\daily_temp3\20150624.csv,SUCCESS,2758,2758,2757,
2015-06-25,D:\lowfreq\daily_temp3\20150625.csv,SUCCESS,2758,2758,2757,
2015-06-26,D:\lowfreq\daily_temp3\20150626.csv,SUCCESS,2763,2763,2762,
2015-06-29,D:\lowfreq\daily_temp3\20150629.csv,SUCCESS,2769,2769,2768,
2015-06-30,D:\lowfreq\daily_temp3\20150630.csv,SUCCESS,2778,2778,2777,
2015-07-01,D:\lowfreq\daily_temp3\20150701.csv,SUCCESS,2781,2781,2780,
2015-07-02,D:\lowfreq\daily_temp3\20150702.csv,SUCCESS,2783,2783,2782,
2015-07-03,D:\lowfreq\daily_temp3\20150703.csv,SUCCESS,2783,2783,2782,
2015-07-06,D:\lowfreq\daily_temp3\20150706.csv,SUCCESS,2783,2783,2782,
2015-07-07,D:\lowfreq\daily_temp3\20150707.csv,SUCCESS,2783,2783,2782,
2015-07-08,D:\lowfreq\daily_temp3\20150708.csv,SUCCESS,2783,2783,2782,
2015-07-09,D:\lowfreq\daily_temp3\20150709.csv,SUCCESS,2783,2783,2782,
2015-07-10,D:\lowfreq\daily_temp3\20150710.csv,SUCCESS,2783,2783,2782,
2015-07-13,D:\lowfreq\daily_temp3\20150713.csv,SUCCESS,2782,2782,2781,
2015-07-14,D:\lowfreq\daily_temp3\20150714.csv,SUCCESS,2782,2782,2781,
2015-07-15,D:\lowfreq\daily_temp3\20150715.csv,SUCCESS,2782,2782,2781,
2015-07-16,D:\lowfreq\daily_temp3\20150716.csv,SUCCESS,2782,2782,2781,
2015-07-17,D:\lowfreq\daily_temp3\20150717.csv,SUCCESS,2782,2782,2781,
2015-07-20,D:\lowfreq\daily_temp3\20150720.csv,SUCCESS,2782,2782,2781,
2015-07-21,D:\lowfreq\daily_temp3\20150721.csv,SUCCESS,2782,2782,2781,
2015-07-22,D:\lowfreq\daily_temp3\20150722.csv,SUCCESS,2782,2782,2781,
2015-07-23,D:\lowfreq\daily_temp3\20150723.csv,SUCCESS,2782,2782,2781,
2015-07-24,D:\lowfreq\daily_temp3\20150724.csv,SUCCESS,2782,2782,2781,
2015-07-27,D:\lowfreq\daily_temp3\20150727.csv,SUCCESS,2782,2782,2781,
2015-07-28,D:\lowfreq\daily_temp3\20150728.csv,SUCCESS,2782,2782,2781,
2015-07-29,D:\lowfreq\daily_temp3\20150729.csv,SUCCESS,2782,2782,2781,
2015-07-30,D:\lowfreq\daily_temp3\20150730.csv,SUCCESS,2782,2782,2781,
2015-07-31,D:\lowfreq\daily_temp3\20150731.csv,SUCCESS,2782,2782,2781,
2015-08-03,D:\lowfreq\daily_temp3\20150803.csv,SUCCESS,2782,2782,2781,
2015-08-04,D:\lowfreq\daily_temp3\20150804.csv,SUCCESS,2782,2782,2781,
2015-08-05,D:\lowfreq\daily_temp3\20150805.csv,SUCCESS,2782,2782,2781,
2015-08-06,D:\lowfreq\daily_temp3\20150806.csv,SUCCESS,2782,2782,2781,
2015-08-07,D:\lowfreq\daily_temp3\20150807.csv,SUCCESS,2782,2782,2781,
2015-08-10,D:\lowfreq\daily_temp3\20150810.csv,SUCCESS,2782,2782,2781,
2015-08-11,D:\lowfreq\daily_temp3\20150811.csv,SUCCESS,2782,2782,2781,
2015-08-12,D:\lowfreq\daily_temp3\20150812.csv,SUCCESS,2782,2782,2781,
