window,analysis_date,window_start,window_end,window_trade_day_count,baseline_valid_ratio,required_valid_days,pairwise_min_common_ratio,required_pairwise_common_days,year,month,trade_day_end_index
60,2015-12-31,2015-10-09,2015-12-31,60,0.9,54,0.9,54,2015,12,243
60,2016-12-30,2016-10-10,2016-12-30,60,0.9,54,0.9,54,2016,12,487
60,2017-12-29,2017-10-09,2017-12-29,60,0.9,54,0.9,54,2017,12,731
60,2018-12-28,2018-10-08,2018-12-28,60,0.9,54,0.9,54,2018,12,974
60,2019-12-31,2019-10-09,2019-12-31,60,0.9,54,0.9,54,2019,12,1218
60,2020-12-31,2020-10-09,2020-12-31,60,0.9,54,0.9,54,2020,12,1461
60,2021-12-31,2021-10-11,2021-12-31,60,0.9,54,0.9,54,2021,12,1704
60,2022-12-30,2022-10-10,2022-12-30,60,0.9,54,0.9,54,2022,12,1946
60,2023-12-29,2023-10-09,2023-12-29,60,0.9,54,0.9,54,2023,12,2188
60,2024-12-31,2024-10-09,2024-12-31,60,0.9,54,0.9,54,2024,12,2430
60,2025-12-31,2025-10-09,2025-12-31,60,0.9,54,0.9,54,2025,12,2673
60,2026-09-03,2026-06-11,2026-09-03,60,0.9,54,0.9,54,2026,9,2836
120,2015-12-31,2015-07-08,2015-12-31,120,0.9,108,0.9,108,2015,12,243
120,2016-12-30,2016-07-07,2016-12-30,120,0.9,108,0.9,108,2016,12,487
120,2017-12-29,2017-07-10,2017-12-29,120,0.9,108,0.9,108,2017,12,731
120,2018-12-28,2018-07-06,2018-12-28,120,0.9,108,0.9,108,2018,12,974
120,2019-12-31,2019-07-09,2019-12-31,120,0.9,108,0.9,108,2019,12,1218
120,2020-12-31,2020-07-09,2020-12-31,120,0.9,108,0.9,108,2020,12,1461
120,2021-12-31,2021-07-08,2021-12-31,120,0.9,108,0.9,108,2021,12,1704
120,2022-12-30,2022-07-08,2022-12-30,120,0.9,108,0.9,108,2022,12,1946
120,2023-12-29,2023-07-07,2023-12-29,120,0.9,108,0.9,108,2023,12,2188
120,2024-12-31,2024-07-08,2024-12-31,120,0.9,108,0.9,108,2024,12,2430
120,2025-12-31,2025-07-09,2025-12-31,120,0.9,108,0.9,108,2025,12,2673
120,2026-09-03,2026-03-13,2026-09-03,120,0.9,108,0.9,108,2026,9,2836
252,2016-12-30,2015-12-22,2016-12-30,252,0.9,227,0.9,227,2016,12,487
252,2017-12-29,2016-12-21,2017-12-29,252,0.9,227,0.9,227,2017,12,731
252,2018-12-28,2017-12-19,2018-12-28,252,0.9,227,0.9,227,2018,12,974
252,2019-12-31,2018-12-19,2019-12-31,252,0.9,227,0.9,227,2019,12,1218
252,2020-12-31,2019-12-19,2020-12-31,252,0.9,227,0.9,227,2020,12,1461
252,2021-12-31,2020-12-21,2021-12-31,252,0.9,227,0.9,227,2021,12,1704
252,2022-12-30,2021-12-20,2022-12-30,252,0.9,227,0.9,227,2022,12,1946
252,2023-12-29,2022-12-19,2023-12-29,252,0.9,227,0.9,227,2023,12,2188
252,2024-12-31,2023-12-18,2024-12-31,252,0.9,227,0.9,227,2024,12,2430
252,2025-12-31,2024-12-19,2025-12-31,252,0.9,227,0.9,227,2025,12,2673
252,2026-09-03,2025-08-21,2026-09-03,252,0.9,227,0.9,227,2026,9,2836
