analysis_date,window,security_id_i,stock_code_i,stock_name_i,security_id_j,stock_code_j,stock_name_j,common_obs,common_ratio,correlation,abs_correlation,top_pair_definition
2015-12-31,60,000965.XSHE,000965,天保基建,600322.XSHG,600322,津投城开,60,1.0,0.9026038559108872,0.9026038559108872,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000937.XSHE,000937,冀中能源,601225.XSHG,601225,陕西煤业,60,1.0,0.896196686612671,0.896196686612671,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,002561.XSHE,002561,徐家汇,600838.XSHG,600838,上海九百,60,1.0,0.8769796490222251,0.8769796490222251,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000528.XSHE,000528,柳工,000900.XSHE,000900,现代投资,60,1.0,0.8665331955485056,0.8665331955485056,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000825.XSHE,000825,太钢不锈,600839.XSHG,600839,四川长虹,60,1.0,0.8489626831517139,0.8489626831517139,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000983.XSHE,000983,山西焦煤,600780.XSHG,600780,通宝能源,60,1.0,0.8437862142116893,0.8437862142116893,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000539.XSHE,000539,粤电力A,600801.XSHG,600801,华新建材,60,1.0,0.8365608576044804,0.8365608576044804,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,002641.XSHE,002641,公元股份,601208.XSHG,601208,东材科技,60,1.0,0.8344639072624288,0.8344639072624288,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,002184.XSHE,002184,海得控制,002444.XSHE,002444,巨星科技,60,1.0,0.8338431853668604,0.8338431853668604,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000709.XSHE,000709,河钢股份,600005.XSHG,600005,武钢股份,60,1.0,0.8334183691669792,0.8334183691669792,Top |rho| within random pair sample; not global full-market top edge
2015-12-31,60,000960.XSHE,000960,锡业股份,601958.XSHG,601958,金钼股份,60,1.0,0.8300717936887912,0.8300717936887912,Top |rho| within random pair sample; not global full-market top edge
